time,core1,core2,core3,core4
 000000,000000,000000,000000,000000
000001,000000,000000,000000,000000
000002,000000,000000,000000,000000
000003,000000,000000,000000,000000
000004,000000,000000,000000,000000
000005,000000,000000,000000,000000
000006,009493,022297,002116,000851
000007,151241,408817,421396,155519
000008,060801,250809,175788,069917
000009,409691,5489530,4295005,5369666
000010,4938891,430211,317813,1329979
000011,105951,060133,162357,044851
000012,051054,016212,1304990,027559
000013,162496,209587,081297,034699
000014,637278,1057837,300330,357944
000015,2410218,2830810,1195021,1855323
000016,979389,1129739,467763,604609
000017,880311,650399,395722,702960
000018,620608,12959773,2793660,5187497
000019,672950,7747180,14821281,14517259
000020,8371137,1854556,2909676,7969586
000021,5162113,1129750,1003193,2192208
000022,592809,1580281,492323,1238429
000023,1048624,1517803,489380,1143669
000024,717073,646696,1555321,388108
000025,414267,325369,2262269,266816
000026,614456,670773,252561,168146
000027,805977,1609991,1047278,349571
000028,336955,1601803,1721584,455651
000029,281423,697539,750016,347541
000030,353491,625014,669568,105111
000031,310575,280744,561796,093871
000032,304733,154904,599524,073886
000033,240904,069823,720641,110431
000034,359324,153928,781841,253550
000035,202271,062116,746624,240478
000036,149798,009629,471809,152574
000037,252510,007492,235839,105209
000038,927048,004091,292541,026840
000039,511318,005730,424583,013499
000040,492690,004355,298604,063440
000041,525795,004996,209931,111056
000042,472010,004358,110714,097645
000043,880569,000656,064261,038444
000044,2144522,000680,167294,017350
000045,847574,000559,134470,004831
000046,381338,000290,082266,000815
000047,362776,000334,085953,000223
000048,1038353,000348,126120,000104
000049,1425923,000237,058873,000130
000050,694550,000111,036623,000145
000051,958672,000064,044582,000086
000052,318457,000030,044394,000040
000053,170387,000026,016012,000062
000054,442266,000013,017806,000025
000055,411974,000019,014689,000023
000056,318479,000009,010019,000009
000057,268006,000009,006969,000009
000058,040889,000008,005337,000005
000059,019375,000006,002940,000004
000060,007266,000012,003331,000002
000061,002848,000012,007777,000001
000062,001823,000001,009507,000002
000063,001704,000001,001589,000000
000064,002094,000003,001157,000000
000065,002922,000003,001037,000000
000066,002793,000001,000748,000000
000067,001193,000000,000741,000000
000068,000590,000002,000476,000000
000069,000397,000003,000275,000001
000070,000371,000001,000355,000000
000071,000546,000001,000238,000000
000072,000550,000000,000078,000000
000073,000210,000000,000048,000000
000074,000246,000000,000098,000000
000075,000228,000001,000037,000000
000076,000130,000000,000027,000000
000077,000117,000000,000009,000000
000078,000221,000000,000021,000000
000079,000233,000000,000016,000000
000080,000120,000000,000015,000000
000081,000032,000001,000010,000000
000082,000017,000000,000007,000000
000083,000014,000001,000005,000001
000084,000018,000000,000006,000000
000085,000013,000000,000003,000000
000086,000008,000001,000001,000000
000087,000011,000000,000002,000000
000088,000010,000000,000001,000000
000089,000011,000000,000004,000000
000090,000012,000000,000003,000000
000091,000004,000000,000002,000000
000092,000008,000000,000001,000000
000093,000006,000000,000000,000000
000094,000005,000000,000000,000000
000095,000004,000000,000000,000000
000096,000006,000001,000000,000000
000097,000005,000000,000001,000000
000098,000002,000000,000000,000000
000099,000001,000000,000000,000000
000100,000002,000000,000000,000000
000101,000002,000001,000000,000000
000102,000002,000000,000000,000000
000103,000005,000000,000000,000000
000104,000001,000000,000000,000001
000105,000000,000000,000000,000000
000106,000002,000000,000000,000000
000107,000004,000000,000000,000000
000108,000002,000000,000000,000000
000109,000005,000000,000000,000000
000110,000004,000000,000000,000000
000111,000007,000000,000000,000000
000112,000009,000000,000000,000000
000113,000007,000000,000000,000000
000114,000004,000000,000000,000000
000115,000002,000000,000000,000000
000116,000000,000000,000000,000001
000117,000001,000000,000000,000000
000118,000002,000000,000000,000000
000119,000002,000000,000000,000000
000120,000005,000000,000000,000000
000121,000001,000000,000000,000000
000122,000001,000001,000000,000000
000123,000000,000000,000000,000000
000124,000000,000000,000000,000000
000125,000001,000000,000000,000000
000126,000000,000000,000000,000000
000127,000000,000000,000000,000000
000128,000002,000000,000000,000000
000129,000001,000000,000000,000000
000130,000001,000000,000000,000000
000131,000001,000000,000000,000000
000132,000000,000000,000000,000000
000133,000001,000000,000000,000000
000134,000001,000000,000000,000000
000135,000000,000000,000000,000000
000136,000000,000000,000000,000000
000137,000000,000000,000000,000000
000138,000001,000000,000000,000000
000139,000000,000000,000000,000000
000140,000001,000000,000000,000000
000141,000000,000000,000000,000000
000142,000000,000000,000000,000000
000143,000000,000000,000000,000000
000144,000000,000000,000000,000000
000145,000001,000000,000000,000000
000146,000000,000000,000000,000000
000147,000001,000000,000000,000000
000148,000000,000000,000000,000000
000149,000000,000000,000000,000000
000150,000000,000000,000000,000000
000151,000000,000000,000000,000000
000152,000000,000000,000000,000000
000153,000000,000000,000000,000000
000154,000000,000000,000000,000000
000155,000000,000000,000000,000000
000156,000000,000000,000000,000000
000157,000000,000000,000000,000000
000158,000000,000000,000000,000000
000159,000000,000000,000000,000000
000160,000000,000000,000000,000000
000161,000000,000000,000000,000000
000162,000000,000000,000000,000000
000163,000000,000000,000000,000000
000164,000000,000000,000000,000000
000165,000000,000000,000000,000000
000166,000000,000000,000000,000000
000167,000000,000000,000000,000000
000168,000000,000000,000000,000000
000169,000000,000000,000000,000000
000170,000000,000000,000000,000000
000171,000000,000000,000000,000000
000172,000000,000000,000000,000000
000173,000000,000000,000000,000000
000174,000000,000000,000000,000000
000175,000000,000000,000000,000000
000176,000000,000000,000000,000000
000177,000000,000000,000000,000000
000178,000000,000000,000000,000000
000179,000000,000000,000000,000000
000180,000000,000000,000000,000000
000181,000000,000000,000000,000000
000182,000000,000000,000000,000000
000183,000000,000000,000000,000000
000184,000000,000000,000000,000000
000185,000000,000000,000000,000000
000186,000000,000000,000000,000000
000187,000000,000000,000000,000000
000188,000000,000000,000000,000000
000189,000000,000000,000000,000000
000190,000000,000000,000000,000000
000191,000000,000000,000000,000000
000192,000000,000000,000000,000000
000193,000000,000000,000000,000000
000194,000000,000000,000000,000000
000195,000000,000000,000000,000000
000196,000000,000000,000000,000000
000197,000000,000000,000000,000000
000198,000000,000000,000000,000000
000199,000000,000000,000000,000000
000200,000000,000000,000000,000000
000201,000000,000000,000000,000000
000202,000000,000000,000000,000000
000203,000000,000000,000000,000000
000204,000000,000000,000000,000000
000205,000000,000000,000000,000000
000206,000000,000000,000000,000000
000207,000000,000000,000000,000000
000208,000000,000000,000000,000000
000209,000000,000000,000000,000000
000210,000000,000000,000000,000000
000211,000000,000000,000000,000000
000212,000000,000000,000000,000000
000213,000000,000000,000000,000000
000214,000000,000000,000000,000000
000215,000000,000000,000000,000000
000216,000000,000000,000000,000000
000217,000000,000000,000000,000000
000218,000000,000000,000000,000000
000219,000000,000000,000000,000000
000220,000000,000000,000000,000000
000221,000000,000000,000000,000000
000222,000000,000000,000000,000000
000223,000000,000000,000000,000000
000224,000000,000000,000000,000000
000225,000000,000000,000000,000000
000226,000000,000000,000000,000000
000227,000000,000000,000000,000000
000228,000000,000000,000000,000000
000229,000000,000000,000000,000000
000230,000000,000000,000000,000000
000231,000000,000000,000000,000000
000232,000000,000000,000000,000000
000233,000000,000000,000000,000000
000234,000000,000000,000000,000000
000235,000000,000000,000000,000000
000236,000000,000000,000000,000000
000237,000000,000000,000000,000000
000238,000000,000000,000000,000000
000239,000000,000000,000000,000000
000240,000000,000000,000000,000000
000241,000000,000000,000000,000000
000242,000000,000000,000000,000000
000243,000000,000000,000000,000000
000244,000000,000000,000000,000000
000245,000000,000000,000000,000000
000246,000000,000000,000000,000000
000247,000000,000000,000000,000000
000248,000000,000000,000000,000000
000249,000000,000000,000000,000000
000250,000000,000000,000000,000000
000251,000000,000000,000000,000000
000252,000000,000000,000000,000000
000253,000000,000000,000000,000000
000254,000000,000000,000000,000000
000255,000000,000000,000000,000000
000256,000000,000000,000000,000000
000257,000000,000000,000000,000000
000258,000000,000000,000000,000000
000259,000000,000000,000000,000000
000260,000000,000000,000000,000000
000261,000000,000000,000000,000000
000262,000000,000000,000000,000000
000263,000000,000000,000000,000000
000264,000000,000000,000000,000000
000265,000000,000000,000000,000000
000266,000000,000000,000000,000000
000267,000000,000000,000000,000000
000268,000000,000000,000000,000000
000269,000000,000000,000000,000000
000270,000000,000000,000000,000000
000271,000000,000000,000000,000000
000272,000000,000000,000000,000000
000273,000000,000000,000000,000000
000274,000000,000000,000000,000000
000275,000000,000000,000000,000000
000276,000000,000000,000000,000000
000277,000000,000000,000000,000000
000278,000000,000000,000000,000000
000279,000000,000000,000000,000000
000280,000000,000000,000000,000000
000281,000000,000000,000000,000000
000282,000000,000000,000000,000000
000283,000000,000000,000000,000000
000284,000000,000000,000000,000000
000285,000000,000000,000000,000000
000286,000000,000000,000000,000000
000287,000000,000000,000000,000000
000288,000000,000000,000000,000000
000289,000000,000000,000000,000000
000290,000000,000000,000000,000000
000291,000000,000000,000000,000000
000292,000000,000000,000000,000000
000293,000000,000000,000000,000000
000294,000000,000000,000000,000000
000295,000000,000000,000000,000000
000296,000000,000000,000000,000000
000297,000000,000000,000000,000000
000298,000000,000000,000000,000000
000299,000000,000000,000000,000000
000300,000000,000000,000000,000000
000301,000000,000000,000000,000000
000302,000000,000000,000000,000000
000303,000000,000000,000000,000000
000304,000000,000000,000000,000000
000305,000000,000000,000000,000000
000306,000000,000000,000000,000000
000307,000000,000000,000000,000000
000308,000000,000000,000000,000000
000309,000000,000000,000000,000000
000310,000000,000000,000000,000000
000311,000000,000000,000000,000000
000312,000000,000000,000000,000000
000313,000000,000000,000000,000000
000314,000000,000000,000000,000000
000315,000000,000000,000000,000000
000316,000000,000000,000000,000000
000317,000000,000000,000000,000000
000318,000000,000000,000000,000000
000319,000000,000000,000000,000000
000320,000000,000000,000000,000000
000321,000000,000000,000000,000000
000322,000000,000000,000000,000000
000323,000000,000000,000000,000000
000324,000000,000000,000000,000000
000325,000000,000000,000000,000000
000326,000000,000000,000000,000000
000327,000000,000000,000000,000000
000328,000000,000000,000000,000000
000329,000000,000000,000000,000000
000330,000000,000000,000000,000000
000331,000000,000000,000000,000000
000332,000000,000000,000000,000000
000333,000000,000000,000000,000000
000334,000000,000000,000000,000000
000335,000000,000000,000000,000000
000336,000000,000000,000000,000000
000337,000000,000000,000000,000000
000338,000000,000000,000000,000000
000339,000000,000000,000000,000000
000340,000000,000000,000000,000000
000341,000000,000000,000000,000000
000342,000000,000000,000000,000000
000343,000000,000000,000000,000000
000344,000000,000000,000000,000000
000345,000000,000000,000000,000000
000346,000000,000000,000000,000000
000347,000000,000000,000000,000000
000348,000000,000000,000000,000000
000349,000000,000000,000000,000000
000350,000000,000000,000000,000000
000351,000000,000000,000000,000000
000352,000000,000000,000000,000000
000353,000000,000000,000000,000000
000354,000000,000000,000000,000000
000355,000000,000000,000000,000000
000356,000000,000000,000000,000000
000357,000000,000000,000000,000000
000358,000000,000000,000000,000000
000359,000000,000000,000000,000000
000360,000000,000000,000000,000000
000361,000000,000000,000000,000000
000362,000000,000000,000000,000000
000363,000000,000000,000000,000000
000364,000000,000000,000000,000000
000365,000000,000000,000000,000000
000366,000000,000000,000000,000000
000367,000000,000000,000000,000000
000368,000000,000000,000000,000000
000369,000000,000000,000000,000000
000370,000000,000000,000000,000000
000371,000000,000000,000000,000000
000372,000000,000000,000000,000000
000373,000000,000000,000000,000000
000374,000000,000000,000000,000000
000375,000000,000000,000000,000000
000376,000000,000000,000000,000000
000377,000000,000000,000000,000000
000378,000000,000000,000000,000000
000379,000000,000000,000000,000000
000380,000000,000000,000000,000000
000381,000000,000000,000000,000000
000382,000000,000000,000000,000000
000383,000000,000000,000000,000000
000384,000000,000000,000000,000000
000385,000000,000000,000000,000000
000386,000000,000000,000000,000000
000387,000000,000000,000000,000000
000388,000000,000000,000000,000000
000389,000000,000000,000000,000000
000390,000000,000000,000000,000000
000391,000000,000000,000000,000000
000392,000000,000000,000000,000000
000393,000000,000000,000000,000000
000394,000000,000000,000000,000000
000395,000000,000000,000000,000000
000396,000000,000000,000000,000000
000397,000000,000000,000000,000000
000398,000000,000000,000000,000000
000399,000000,000000,000000,000000
